Code,Description
20,Cuba
21,Argentina
22,Bahamas
23,Belize
24,Bolivia
25,Canada
26,Chile
27,China
28,Colombia
29,*REMOVED*
30,Dominican Republic
31,Ecuador
32,El Salvador
33,France
34,Germany
35,Ghana
36,Great Britain
37,Guatemala
38,Guyana
39,Haiti
40,Honduras
41,India
42,Iran
43,Israel
44,Italy
45,Jamaica
46,Jordan
47,Korea
48,Lebanon
49,Mexico
50,Nicaragua
51,Nigeria
52,Pakistan
53,Panama
54,Peru
55,Philippines
56,Russia
57,Thailand
58,Trinidad and Tobago
59,Venezuela
60,Vietnam
61,Afghanistan
62,Albania
63,Antigua and Barbuda
64,Australia
65,Bangladesh
66,Barbados
67,Benin
68,Brazil
69,Costa Rica
70,Greece
71,Guinea
72,Hong Kong
73,Indonesia
74,Iraq
75,Ireland
76,Kuwait
77,Other
78,Laos
79,Liberia
80,Malaysia
81,Netherlands
82,Poland
83,Romania
84,Portugal
85,Spain
87,Syria
88,Taiwan
89,Togo
90,Yemen
91,Yugoslavia
98,*REMOVED*
99,*REMOVED*
100,Algeria
101,Andorra
102,Angola
103,Armenia
104,Austria
105,Azerbaijan
106,Bahrain
107,Belarus
108,Belgium
109,Bhutan
110,Bosnia and Herzegovina
111,Botswana
112,Brunei Darussalam
113,Bulgaria
114,Burkina Faso
115,Burundi
116,Cambodia
117,Cameroon
118,Cape Verde
119,Central African Repub.
120,Chad
121,Comoros
122,Congo
123,Cote d’Ivoire
124,Croatia
125,Cyprus
126,Czech Republic
127,Denmark
128,Djibouti
129,Dominica
130,Egypt
131,Eritrea
132,Estonia
133,Ethiopia
134,Fiji
135,Finland
136,Gabon
137,Gambia
138,Georgia
139,Grenada
140,Hungary
141,Iceland
142,Japan
143,Kazakhstan
144,Kenya
145,Kyrgyzstan
146,Latvia
147,Lesotho
148,Libyan Arab Jamahiriya
149,Liechtenstein
150,Lithuania
151,Luxembourg
152,Madagascar
153,Malawi
154,Maldives
155,Mali
156,Malta
157,Marshall Islands
158,Mauritania
159,Mauritius
160,Micronesia
161,Moldova
162,Monaco
163,Mongolia
164,Morocco
165,Mozambique
166,Myanmar
167,Namibia
168,Nepal
169,New Zealand
170,Norway
171,Oman
172,Palau
173,Papua New Guinea
174,Paraguay
175,Qatar
176,Rwanda
177,Saint Lucia
178,Saint Vincent and the Grenadines
179,Samoa
180,San Marino
181,Sao Tome and Principe
182,Saudi Arabia
183,Senegal
184,Seychelles
185,Sierra Leone
186,Singapore
187,Slovakia
188,Slovenia
189,Solomon Islands
190,Somalia
191,South Africa
192,Sri Lanka
193,Sudan
194,Suriname
195,Swaziland
196,Sweden
197,Switzerland
198,Tajikistan
199,Tanzania
200,Tunisia
201,Turkey
202,Turkmenistan
203,Uganda
204,Ukraine
205,United Arab Emirates
206,Uruguay
207,Uzbekistan
208,Vanuatu
209,Zambia
210,Zimbabwe
211,United States (N/A)
212,Bermuda
213,Montserrat
214,Macedonia
215,St Kitts - Nevis
216,Tonga
217,Niger
218,Gilbert Island
219,Montenegro
220,Serbia
221,Kosovo
222,Palestine
.,Missing
