Code,Description
1,Administration of Justice
2,Antitrust
3,Arson
4,Assault
5,Bribery/Corruption
6,Burglary/Trespass
7,Child Pornography
8,Commercialized Vice
9,Drug Possession
10,Drug Trafficking
11,Environmental
12,Extortion/Racketeering
13,Firearms
14,Food and Drug
15,Forgery/Counter/Copyright
16,Fraud/Theft/Embezzlement
17,Immigration
18,Individual Rights
19,Kidnapping
20,Manslaughter
21,Money Launder
22,Murder
23,National Defense
24,Obscenity/Other Sex Offenses
25,Prison Offenses
26,Robbery
27,Sex Abuse
28,Stalking/Harassing
29,Tax
30,Other
.,Missing
