StateDistrictNumber,State,StateDistrict,OfficeCode,OfficeName
27,Alabama, Middle,1,Dothan
27,Alabama, Middle,2,Montgomery
26,Alabama, Northern,1,Anniston
26,Alabama, Northern,2,Birmingham
26,Alabama, Northern,3,Florence
26,Alabama, Northern,4,Gadsden
26,Alabama, Northern,5,Huntsville
26,Alabama, Northern,7,Tuscaloosa
28,Alabama, Southern,1,Mobile
28,Alabama, Southern,2,Selma
95,Alaska,,3,Anchorage
95,Alaska,,4,Fairbanks
70,Arizona,,0,Yuma
70,Arizona,,2,Phoenix
70,Arizona,,4,Tucson
70,Arizona,,6,Flagstaff
70,Arizona,,9,Chinle
70,Arizona,,C,Tuba City
70,Arizona,,G,Sierra Vista
60,Arkansas, Eastern,3,Jonesboro
60,Arkansas, Eastern,4,Little Rock
60,Arkansas, Eastern,5,Pine Bluff
61,Arkansas, Western,1,El Dorado/Texarkana
61,Arkansas, Western,2,Fort Smith
61,Arkansas, Western,5,Fayetteville
61,Arkansas, Western,6,Hot Springs
73,California, Central,0,Woodland Hills
73,California, Central,2,Los Angeles
73,California, Central,3,Lancaster
73,California, Central,5,Riverside
73,California, Central,6,San Bernardino
73,California, Central,8,Santa Ana
73,California, Central,9,Santa Barbara
73,California, Central,A,Long Beach
73,California, Central,B,Santa Fe Springs
73,California, Central,C,Ventura
73,California, Central,D,Studio City
73,California, Central,E,West Covina
73,California, Central,F,Inglewood
73,California, Central,G,Laguna Hills
72,California, Eastern,0,Elk Grove
72,California, Eastern,1,Fresno
72,California, Eastern,2,Sacramento
72,California, Eastern,3,Redding
72,California, Eastern,5,Bakersfield
72,California, Eastern,6,Roseville
72,California, Eastern,9,Modesto
72,California, Eastern,J,Visalia
71,California, Northern,0,San Mateo
71,California, Northern,2,San Rafael
71,California, Northern,3,San Francisco
71,California, Northern,4,Oakland
71,California, Northern,5,San Jose
71,California, Northern,7,Monterey
71,California, Northern,9,Santa Rosa
74,California, Southern,1,Chula Vista
74,California, Southern,2,El Centro
74,California, Southern,3,San Diego
82,Colorado,,1,Denver
82,Colorado,,2,Durango
82,Colorado,,3,Grand Junction
82,Colorado,,8,Colorado Springs
05,Connecticut,,2,Hartford
05,Connecticut,,3,New Haven
05,Connecticut,,5,Bridgeport
11,Delaware,,1,Wilmington
11,Delaware,,2,Dover
90,District of Columbia,,1,"Washington, D.C."
30,Florida, Middle,2,Fort Myers
30,Florida, Middle,3,Jacksonville
30,Florida, Middle,5,Ocala
30,Florida, Middle,6,Orlando
30,Florida, Middle,8,Tampa
30,Florida, Middle,9,Sarasota
30,Florida, Middle,B,Cocoa
30,Florida, Middle,C,Lakeland
30,Florida, Middle,F,Naples
29,Florida, Northern,1,Gainesville
29,Florida, Northern,3,Pensacola
29,Florida, Northern,4,Tallahassee
29,Florida, Northern,5,Panama City
31,Florida, Southern,0,Fort Lauderdale
31,Florida, Southern,1,Miami
31,Florida, Southern,2,Fort Pierce
31,Florida, Southern,3,Hollywood
31,Florida, Southern,4,Key West
31,Florida, Southern,5,Boca Raton
31,Florida, Southern,9,West Palm Beach
33,Georgia, Middle,1,Albany
33,Georgia, Middle,3,Athens
33,Georgia, Middle,4,Columbus
33,Georgia, Middle,5,Macon
33,Georgia, Middle,7,Valdosta
32,Georgia, Northern,1,Atlanta
32,Georgia, Northern,2,Gainesville
32,Georgia, Northern,3,Newnan
32,Georgia, Northern,4,Rome
32,Georgia, Northern,5,Marietta
32,Georgia, Northern,6,Tucker
34,Georgia, Southern,1,Augusta
34,Georgia, Southern,2,Brunswick
34,Georgia, Southern,4,Savannah
34,Georgia, Southern,8,Statesboro
93,Guam,,1,Hagatna
75,Hawaii,,1,Honolulu
76,Idaho,,1,Boise
76,Idaho,,2,Coeur d'Alene
76,Idaho,,3,Moscow
76,Idaho,,4,Pocatello
53,Illinois, Central,1,Peoria
53,Illinois, Central,3,Springfield
53,Illinois, Central,4,Rock Island
53,Illinois, Central,C,Champaign/Urbana
52,Illinois, Northern,1,Chicago
52,Illinois, Northern,3,Rockford
52,Illinois, Northern,8,Lisle
54,Illinois, Southern,3,East St. Louis
54,Illinois, Southern,4,Benton
55,Indiana, Northern,1,Fort Wayne
55,Indiana, Northern,2,Hammond
55,Indiana, Northern,3,South Bend
55,Indiana, Northern,4,Lafayette
56,Indiana, Southern,1,Indianapolis
