po_office,state_name,lat,long
"Tucson, AZ",Arizona,32.2,-110.89
"San Diego, CA",California,32.81,-117.14
"Houston, TX",Texas,29.77,-95.39
"Austin, TX",Texas,30.31,-97.75
"Phoenix, AZ",Arizona,33.54,-112.07
"Fort Smith, AR",Arkansas,35.37,-94.38
"Los Angeles, CA",California,34.11,-118.41
"Indianapolis, IN",Indiana,39.78,-86.15
"Omaha, NE",Nebraska,41.26,-96.01
"Albuquerque, NM",New Mexico,35.12,-106.62
"Las Cruces, NM",New Mexico,32.34,-106.76
"El Paso, TX",Texas,31.85,-106.44
"Norfolk, VA",Virginia,36.92,-76.24
"Montgomery, AL",Alabama,32.35,-86.28
"Birmingham, AL",Alabama,33.53,-86.8
"Mobile, AL",Alabama,30.68,-88.09
"San Francisco, CA",California,37.77,-122.45
"Chula Vista, CA",California,32.63,-117.04
"Denver, CO",Colorado,39.77,-104.87
"Orlando, FL",Florida,28.5,-81.37
"Tampa, FL",Florida,27.96,-82.48
"Pensacola, FL",Florida,30.44,-87.19
"Fort Lauderdale, FL",Florida,26.14,-80.14
"Hollywood, FL",Florida,26.03,-80.16
"Miami, FL",Florida,25.78,-80.21
"West Palm Beach, FL",Florida,26.75,-80.13
"Columbus, GA",Georgia,32.51,-84.87
"Macon, GA",Georgia,32.84,-83.66
"Atlanta, GA",Georgia,33.76,-84.42
"Savannah, GA",Georgia,32.02,-81.13
"Boise, ID",Idaho,43.61,-116.23
"Springfield, IL",Illinois,39.78,-89.64
"Fort Wayne, IN",Indiana,41.07,-85.14
"Hammond, IN",Indiana,41.62,-87.49
"South Bend, IN",Indiana,41.68,-86.27
"Cedar Rapids, IA",Iowa,41.97,-91.67
"Sioux City, IA",Iowa,42.5,-96.39
"Des Moines, IA",Iowa,41.58,-93.62
"Kansas City, KS",Kansas,39.12,-94.73
"Wichita, KS",Kansas,37.69,-97.34
"Lexington, KY",Kentucky,38.04,-84.46
"Louisville, KY",Kentucky,38.22,-85.74
"Lafayette, LA",Louisiana,30.22,-92.03
"Baltimore, MD",Maryland,39.3,-76.61
"Detroit, MI",Michigan,42.38,-83.1
"Flint, MI",Michigan,43.02,-83.69
"Grand Rapids, MI",Michigan,42.96,-85.66
"Minneapolis, MN",Minnesota,44.96,-93.27
"Gulfport, MS",Mississippi,30.39,-89.07
"Jackson, MS",Mississippi,32.32,-90.21
"Kansas City, MO",Missouri,39.12,-94.55
"Springfield, MO",Missouri,37.2,-93.29
"Great Falls, MT",Montana,47.5,-111.29
"Las Vegas, NV",Nevada,36.21,-115.22
"Trenton, NJ",New Jersey,40.22,-74.76
"Santa Fe, NM",New Mexico,35.68,-105.95
"Albany, NY",New York,42.67,-73.8
"Buffalo, NY",New York,42.89,-78.86
"Rochester, NY",New York,43.17,-77.62
"Raleigh, NC",North Carolina,35.82,-78.66
"Greensboro, NC",North Carolina,36.08,-79.83
"Charlotte, NC",North Carolina,35.2,-80.83
"Fargo, ND",North Dakota,46.88,-96.82
"Grand Forks, ND",North Dakota,47.92,-97.07
"Cleveland, OH",Ohio,41.48,-81.68
"Toledo, OH",Ohio,41.66,-83.58
"Youngstown, OH",Ohio,41.1,-80.65
"Dayton, OH",Ohio,39.78,-84.2
"Tulsa, OK",Oklahoma,36.13,-95.92
"Lawton, OK",Oklahoma,34.6,-98.42
"Oklahoma City, OK",Oklahoma,35.47,-97.51
"Portland, OR",Oregon,45.54,-122.66
"Philadelphia, PA",Pennsylvania,40.01,-75.13
"Scranton, PA",Pennsylvania,41.4,-75.67
"Providence, RI",Rhode Island,41.82,-71.42
"Columbia, SC",South Carolina,34.04,-80.89
"Greenville, SC",South Carolina,34.84,-82.37
"Pierre, SD",South Dakota,44.37,-100.34
"Rapid City, SD",South Dakota,44.08,-103.23
"Nashville, TN",Tennessee,36.17,-86.78
"Memphis, TN",Tennessee,35.11,-90.01
"Amarillo, TX",Texas,35.2,-101.82
"Dallas, TX",Texas,32.79,-96.77
"Fort Worth, TX",Texas,32.75,-97.34
"Lubbock, TX",Texas,33.58,-101.88
"San Angelo, TX",Texas,31.45,-100.45
"Brownsville, TX",Texas,25.93,-97.48
"Corpus Christi, TX",Texas,27.71,-97.29
"Laredo, TX",Texas,27.53,-99.49
"Victoria, TX",Texas,28.82,-96.98
"San Antonio, TX",Texas,29.46,-98.51
"Waco, TX",Texas,31.57,-97.18
"Salt Lake City, UT",Utah,40.78,-111.93
"Alexandria, VA",Virginia,38.82,-77.09
"Newport News, VA",Virginia,37.08,-76.51
"Richmond, VA",Virginia,37.53,-77.47
"Roanoke, VA",Virginia,37.28,-79.96
"Spokane, WA",Washington,47.67,-117.41
"Seattle, WA",Washington,47.62,-122.35
"Tacoma, WA",Washington,47.25,-122.46
"Milwaukee, WI",Wisconsin,43.06,-87.97
"Madison, WI",Wisconsin,43.08,-89.39
"Casper, WY",Wyoming,42.83,-106.33
"Cheyenne, WY",Wyoming,41.15,-104.79
"Huntsville, AL",Alabama,34.71,-86.63
"Anchorage, AK",Alaska,61.18,-149.19
"Flagstaff, AZ",Arizona,35.19,-111.62
"Yuma, AZ",Arizona,32.68,-114.62
"Little Rock, AR",Arkansas,34.72,-92.35
"Fayetteville, AR",Arkansas,36.07,-94.16
"Santa Ana, CA",California,33.74,-117.88
"Fresno, CA",California,36.78,-119.79
"Sacramento, CA",California,38.57,-121.47
"Oakland, CA",California,37.77,-122.22
"San Jose, CA",California,37.3,-121.85
"Colorado Springs, CO",Colorado,38.86,-104.76
"Bridgeport, CT",Connecticut,41.19,-73.2
"New Haven, CT",Connecticut,41.31,-72.92
"Wilmington, DE",Delaware,39.74,-75.53
"Fort Myers, FL",Florida,26.63,-81.85
"Jacksonville, FL",Florida,30.33,-81.66
"Gainesville, FL",Florida,29.67,-82.34
"Tallahassee, FL",Florida,30.46,-84.28
"Valdosta, GA",Georgia,30.85,-83.28
"Honolulu, HI",Hawaii,21.32,-157.8
"Coeur d'Alene, ID",Idaho,47.7,-116.78
"Pocatello, ID",Idaho,42.88,-112.47
"Peoria, IL",Illinois,40.74,-89.61
"Chicago, IL",Illinois,41.84,-87.68
"Rockford, IL",Illinois,42.27,-89.06
"Evansville, IN",Indiana,37.98,-87.54
"Davenport, IA",Iowa,41.56,-90.6
"Topeka, KS",Kansas,39.04,-95.69
"Covington, KY",Kentucky,39.04,-84.51
"Bowling Green, KY",Kentucky,36.97,-86.44
"New Orleans, LA",Louisiana,30.07,-89.93
"Baton Rouge, LA",Louisiana,30.45,-91.13
"Alexandria, LA",Louisiana,31.29,-92.46
"Lake Charles, LA",Louisiana,30.21,-93.2
"Monroe, LA",Louisiana,32.51,-92.08
"Shreveport, LA",Louisiana,32.47,-93.8
"Portland, ME",Maine,43.66,-70.28
"Boston, MA",Massachusetts,42.34,-71.02
"Springfield, MA",Massachusetts,42.12,-72.54
"Ann Arbor, MI",Michigan,42.28,-83.73
"Kalamazoo, MI",Michigan,42.27,-85.59
"Lansing, MI",Michigan,42.71,-84.55
"Hattiesburg, MS",Mississippi,31.31,-89.31
"Jefferson City, MO",Missouri,38.57,-92.19
"Billings, MT",Montana,45.79,-108.54
"Helena, MT",Montana,46.6,-112.03
"Missoula, MT",Montana,46.87,-114.01
"Lincoln, NE",Nebraska,40.82,-96.69
"Reno, NV",Nevada,39.54,-119.82
"Concord, NH",New Hampshire,43.23,-71.56
"Camden, NJ",New Jersey,39.94,-75.11
"Newark, NJ",New Jersey,40.72,-74.17
"Syracuse, NY",New York,43.04,-76.14
"Fayetteville, NC",North Carolina,35.07,-78.9
"Greenville, NC",North Carolina,35.6,-77.37
"Wilmington, NC",North Carolina,34.21,-77.91
"Asheville, NC",North Carolina,35.57,-82.55
"Bismarck, ND",North Dakota,46.81,-100.77
"Akron, OH",Ohio,41.08,-81.52
"Cincinnati, OH",Ohio,39.14,-84.51
"Columbus, OH",Ohio,39.99,-82.99
