title,title_name,chapter,section,violation_summary,title_subtitle_text
8,Aliens and Nationality,12,1326,"Reentry of a removed alien (8 U.S.C. 1326), if alien described in subsection (b)(1) or (2).",81326
8,Aliens and Nationality,12,1327,Aiding or assisting certain aliens to enter the U.S. (8 U.S.C. 1327).,81327
8,Aliens and Nationality,12,1328,Importation of an alien for immoral purposes (8 U.S.C. 1328).,81328
18,Crimes and Criminal Procedure,2,32,Destruction of aircraft or aircraft facilities.,1832
18,Crimes and Criminal Procedure,2,33,Destruction of motor vehicles or motor vehicle facilities.,1833
18,Crimes and Criminal Procedure,2,36,Drive-by shootings.,1836
18,Crimes and Criminal Procedure,5,81,Arson within special maritime and territorial jurisdiction.,1881
18,Crimes and Criminal Procedure,7,111(b),Assaulting/resisting officers with deadly weapon or causing bodily injury.,18111B
18,Crimes and Criminal Procedure,7,113(a)(1),"Assault with intent to commit murder or a violation of section 2241 or 2242, by a fine under this title, imprisonment for not more than 20 years, or both.",18113A1
18,Crimes and Criminal Procedure,7,113(a)(7),"Assault resulting in substantial bodily injury to a spouse or intimate partner, a dating partner, or an individual who has not attained the age of 16 years, by a fine under this title or imprisonment for not more than 5 years, or both.",18113A7
18,Crimes and Criminal Procedure,7,113(a)(8),"Assault of a spouse, intimate partner, or dating partner by strangling, suffocating, or attempting to strangle or suffocate, by a fine under this title, imprisonment for not more than 10 years, or both.",18113A8
18,Crimes and Criminal Procedure,7,115,Retaliating against federal officials by injuring family members (excluding threats).,18115
18,Crimes and Criminal Procedure,7,116,Female genital mutilation.,18116
18,Crimes and Criminal Procedure,7,117,Domestic assault by a habitual offender.,18117
18,Crimes and Criminal Procedure,10,175,Prohibitions with respect to biological weapons,18175
18,Crimes and Criminal Procedure,10,175b,Possession by restricted persons,18175B
18,Crimes and Criminal Procedure,10,175c,Variola virus,18175C
18,Crimes and Criminal Procedure,10,176,"Seizure, forfeiture, and destruction",18176
18,Crimes and Criminal Procedure,11B,229,Chemical weapons: Prohibited activities,18229
18,Crimes and Criminal Procedure,11B,229A,Penalties,18229A
18,Crimes and Criminal Procedure,11B,229B,Criminal forfeitures; destruction of weapons,18229B
18,Crimes and Criminal Procedure,11B,229C,Individual self-defense devices,18229C
18,Crimes and Criminal Procedure,18,351,"Assassination, kidnapping, assault against Congressional, Cabinet, and Supreme Court members.",18351
18,Crimes and Criminal Procedure,26,521,Criminal street gangs.,18521
18,Crimes and Criminal Procedure,35,751,Prisoners in custody of institution or officer.,18751
