state,year,drug_cat,probation_sentence_count,supervised_release_sentence_count,total_sentence_count_by_drug_cat,probation_sentence_rate,supervised_release_sentence_rate,total_sentences_by_state_year
Total,2014,Marijuana Possession,184,55,2172,0.0847145488029466,0.0253222836095764,75798
Total,2014,Marijuana Trafficking,369,3293,3936,0.09375,0.836636178861789,75798
Total,2015,Marijuana Possession,228,36,2089,0.109143130684538,0.0172331258975586,70973
Total,2015,Marijuana Trafficking,372,2886,3490,0.106590257879656,0.826934097421203,70973
Total,2016,Marijuana Possession,39,6,61,0.639344262295082,0.0983606557377049,46079
Total,2016,Marijuana Trafficking,163,1574,1748,0.0932494279176201,0.90045766590389,46079
Total,2017,Marijuana Possession,36,7,52,0.692307692307692,0.134615384615385,46944
Total,2017,Marijuana Trafficking,159,1378,1530,0.103921568627451,0.900653594771242,46944
Total,2018,Marijuana Possession,33,4,44,0.75,0.0909090909090909,48363
Total,2018,Marijuana Trafficking,82,1050,1158,0.0708117443868739,0.906735751295337,48363
Total,2019,Marijuana Possession,30,3,42,0.714285714285714,0.0714285714285714,54670
Total,2019,Marijuana Trafficking,75,787,887,0.084554678692221,0.887260428410372,54670
Total,2020,Marijuana Possession,17,4,26,0.653846153846154,0.153846153846154,45655
Total,2020,Marijuana Trafficking,62,536,610,0.101639344262295,0.878688524590164,45655
Total,2021,Marijuana Possession,6,3,13,0.461538461538462,0.230769230769231,42326
Total,2021,Marijuana Trafficking,52,467,529,0.0982986767485822,0.882797731568998,42326
Total,2022,Marijuana Possession,11,4,18,0.611111111111111,0.222222222222222,47574
Total,2022,Marijuana Trafficking,64,406,481,0.133056133056133,0.844074844074844,47574
Total,2023,Marijuana Possession,1,0,2,0.5,0,46287
Total,2023,Marijuana Trafficking,29,308,339,0.0855457227138643,0.908554572271387,46287
Total,2024,Marijuana Possession,0,0,0,0,0,43374
Total,2024,Marijuana Trafficking,41,226,269,0.152416356877323,0.840148698884758,43374
Alabama,2014,Marijuana Possession,2,0,2,1,0,1068
Alabama,2014,Marijuana Trafficking,2,17,19,0.105263157894737,0.894736842105263,1068
Alabama,2015,Marijuana Possession,0,1,1,0,1,877
Alabama,2015,Marijuana Trafficking,3,12,15,0.2,0.8,877
Alabama,2016,Marijuana Possession,0,0,1,0,0,617
Alabama,2016,Marijuana Trafficking,1,5,6,0.166666666666667,0.833333333333333,617
Alabama,2017,Marijuana Possession,0,0,0,0,0,730
Alabama,2017,Marijuana Trafficking,2,21,23,0.0869565217391304,0.91304347826087,730
Alabama,2018,Marijuana Possession,0,0,0,0,0,804
Alabama,2018,Marijuana Trafficking,3,13,16,0.1875,0.8125,804
Alabama,2019,Marijuana Possession,0,1,1,0,1,927
Alabama,2019,Marijuana Trafficking,2,15,17,0.117647058823529,0.882352941176471,927
Alabama,2020,Marijuana Possession,0,0,0,0,0,719
Alabama,2020,Marijuana Trafficking,0,16,16,0,1,719
Alabama,2021,Marijuana Possession,0,0,0,0,0,614
Alabama,2021,Marijuana Trafficking,0,7,7,0,1,614
Alabama,2022,Marijuana Possession,0,0,0,0,0,691
Alabama,2022,Marijuana Trafficking,1,11,12,0.0833333333333333,0.916666666666667,691
Alabama,2023,Marijuana Possession,0,0,0,0,0,697
Alabama,2023,Marijuana Trafficking,1,3,4,0.25,0.75,697
Alabama,2024,Marijuana Possession,0,0,0,0,0,690
Alabama,2024,Marijuana Trafficking,0,5,5,0,1,690
Alaska,2014,Marijuana Possession,0,0,0,0,0,156
Alaska,2014,Marijuana Trafficking,1,5,6,0.166666666666667,0.833333333333333,156
Alaska,2015,Marijuana Possession,0,0,0,0,0,165
Alaska,2015,Marijuana Trafficking,0,1,1,0,1,165
Alaska,2016,Marijuana Possession,0,0,0,0,0,130
Alaska,2016,Marijuana Trafficking,0,0,0,0,0,130
Alaska,2017,Marijuana Possession,0,0,0,0,0,139
Alaska,2017,Marijuana Trafficking,0,2,2,0,1,139
Alaska,2018,Marijuana Possession,0,0,0,0,0,158
Alaska,2018,Marijuana Trafficking,0,1,1,0,1,158
Alaska,2019,Marijuana Possession,0,0,0,0,0,161
Alaska,2019,Marijuana Trafficking,0,0,0,0,0,161
Alaska,2020,Marijuana Possession,0,0,0,0,0,87
Alaska,2020,Marijuana Trafficking,0,1,1,0,1,87
Alaska,2021,Marijuana Possession,0,0,0,0,0,123
Alaska,2021,Marijuana Trafficking,0,0,0,0,0,123
Alaska,2022,Marijuana Possession,0,0,0,0,0,118
Alaska,2022,Marijuana Trafficking,0,0,0,0,0,118
Alaska,2023,Marijuana Possession,0,0,0,0,0,141
Alaska,2023,Marijuana Trafficking,0,0,0,0,0,141
Alaska,2024,Marijuana Possession,0,0,0,0,0,110
Alaska,2024,Marijuana Trafficking,0,0,0,0,0,110
Arizona,2014,Marijuana Possession,19,9,1917,0.0099113197704747,0.00469483568075117,6599
Arizona,2014,Marijuana Trafficking,48,677,726,0.0661157024793388,0.932506887052342,6599
Arizona,2015,Marijuana Possession,24,3,1775,0.0135211267605634,0.00169014084507042,6154
Arizona,2015,Marijuana Trafficking,32,672,707,0.0452616690240453,0.95049504950495,6154
Arizona,2016,Marijuana Possession,0,0,1,0,0,3445
Arizona,2016,Marijuana Trafficking,29,477,505,0.0574257425742574,0.944554455445545,3445
Arizona,2017,Marijuana Possession,1,0,1,1,0,3512
Arizona,2017,Marijuana Trafficking,39,421,462,0.0844155844155844,0.911255411255411,3512
Arizona,2018,Marijuana Possession,0,0,0,0,0,3315
Arizona,2018,Marijuana Trafficking,34,230,264,0.128787878787879,0.871212121212121,3315
Arizona,2019,Marijuana Possession,1,0,1,1,0,4410
Arizona,2019,Marijuana Trafficking,17,97,114,0.149122807017544,0.850877192982456,4410
Arizona,2020,Marijuana Possession,0,0,0,0,0,3751
Arizona,2020,Marijuana Trafficking,6,44,51,0.117647058823529,0.862745098039216,3751
Arizona,2021,Marijuana Possession,0,0,0,0,0,3643
Arizona,2021,Marijuana Trafficking,5,45,50,0.1,0.9,3643
Arizona,2022,Marijuana Possession,0,0,0,0,0,3765
Arizona,2022,Marijuana Trafficking,4,11,15,0.266666666666667,0.733333333333333,3765
Arizona,2023,Marijuana Possession,0,0,0,0,0,3866
Arizona,2023,Marijuana Trafficking,0,1,1,0,1,3866
Arizona,2024,Marijuana Possession,0,0,0,0,0,2904
Arizona,2024,Marijuana Trafficking,0,3,3,0,1,2904
Arkansas,2014,Marijuana Possession,0,0,0,0,0,674
Arkansas,2014,Marijuana Trafficking,4,10,13,0.307692307692308,0.769230769230769,674
Arkansas,2015,Marijuana Possession,0,0,0,0,0,630
Arkansas,2015,Marijuana Trafficking,10,15,25,0.4,0.6,630
Arkansas,2016,Marijuana Possession,0,0,0,0,0,486
Arkansas,2016,Marijuana Trafficking,6,6,12,0.5,0.5,486
Arkansas,2017,Marijuana Possession,0,0,0,0,0,533
Arkansas,2017,Marijuana Trafficking,5,18,23,0.217391304347826,0.782608695652174,533
Arkansas,2018,Marijuana Possession,0,0,0,0,0,576
Arkansas,2018,Marijuana Trafficking,1,10,11,0.0909090909090909,0.909090909090909,576
Arkansas,2019,Marijuana Possession,0,0,0,0,0,572
Arkansas,2019,Marijuana Trafficking,0,9,9,0,1,572
Arkansas,2020,Marijuana Possession,0,0,0,0,0,634
Arkansas,2020,Marijuana Trafficking,1,11,12,0.0833333333333333,0.916666666666667,634
Arkansas,2021,Marijuana Possession,0,0,0,0,0,637
Arkansas,2021,Marijuana Trafficking,4,5,9,0.444444444444444,0.555555555555556,637
Arkansas,2022,Marijuana Possession,0,0,0,0,0,680
Arkansas,2022,Marijuana Trafficking,4,10,14,0.285714285714286,0.714285714285714,680
Arkansas,2023,Marijuana Possession,0,0,0,0,0,617
Arkansas,2023,Marijuana Trafficking,4,3,7,0.571428571428571,0.428571428571429,617
Arkansas,2024,Marijuana Possession,0,0,0,0,0,637
Arkansas,2024,Marijuana Trafficking,3,7,10,0.3,0.7,637
California,2014,Marijuana Possession,4,3,8,0.5,0.375,6793
California,2014,Marijuana Trafficking,44,311,386,0.113989637305699,0.805699481865285,6793
California,2015,Marijuana Possession,2,0,11,0.181818181818182,0,5771
California,2015,Marijuana Trafficking,22,188,213,0.103286384976526,0.882629107981221,5771
California,2016,Marijuana Possession,1,0,1,1,0,2984
California,2016,Marijuana Trafficking,3,94,103,0.029126213592233,0.912621359223301,2984
California,2017,Marijuana Possession,0,0,0,0,0,2925
California,2017,Marijuana Trafficking,12,62,75,0.16,0.826666666666667,2925
California,2018,Marijuana Possession,0,0,0,0,0,3357
California,2018,Marijuana Trafficking,1,44,47,0.0212765957446809,0.936170212765957,3357
California,2019,Marijuana Possession,0,0,0,0,0,3466
California,2019,Marijuana Trafficking,3,40,50,0.06,0.8,3466
California,2020,Marijuana Possession,0,1,1,0,1,2872
California,2020,Marijuana Trafficking,4,30,35,0.114285714285714,0.857142857142857,2872
California,2021,Marijuana Possession,0,0,0,0,0,2619
California,2021,Marijuana Trafficking,3,32,36,0.0833333333333333,0.888888888888889,2619
California,2022,Marijuana Possession,0,0,0,0,0,3240
California,2022,Marijuana Trafficking,2,18,21,0.0952380952380952,0.857142857142857,3240
California,2023,Marijuana Possession,0,0,0,0,0,2738
California,2023,Marijuana Trafficking,2,16,18,0.111111111111111,0.888888888888889,2738
California,2024,Marijuana Possession,0,0,0,0,0,2429
California,2024,Marijuana Trafficking,0,11,12,0,0.916666666666667,2429
Colorado,2014,Marijuana Possession,3,0,3,1,0,541
Colorado,2014,Marijuana Trafficking,0,0,0,0,0,541
Colorado,2015,Marijuana Possession,2,0,2,1,0,437
Colorado,2015,Marijuana Trafficking,0,2,3,0,0.666666666666667,437
Colorado,2016,Marijuana Possession,2,0,2,1,0,380
Colorado,2016,Marijuana Trafficking,0,6,6,0,1,380
Colorado,2017,Marijuana Possession,1,1,2,0.5,0.5,367
Colorado,2017,Marijuana Trafficking,0,10,10,0,1,367
Colorado,2018,Marijuana Possession,0,0,0,0,0,435
Colorado,2018,Marijuana Trafficking,0,12,12,0,1,435
Colorado,2019,Marijuana Possession,0,0,0,0,0,408
Colorado,2019,Marijuana Trafficking,1,9,10,0.1,0.9,408
Colorado,2020,Marijuana Possession,0,0,0,0,0,319
Colorado,2020,Marijuana Trafficking,0,5,5,0,1,319
Colorado,2021,Marijuana Possession,0,0,0,0,0,301
Colorado,2021,Marijuana Trafficking,0,2,2,0,1,301
Colorado,2022,Marijuana Possession,1,0,1,1,0,320
Colorado,2022,Marijuana Trafficking,3,6,11,0.272727272727273,0.545454545454545,320
Colorado,2023,Marijuana Possession,0,0,0,0,0,271
Colorado,2023,Marijuana Trafficking,0,4,4,0,1,271
Colorado,2024,Marijuana Possession,0,0,0,0,0,327
Colorado,2024,Marijuana Trafficking,0,0,0,0,0,327
Connecticut,2014,Marijuana Possession,1,0,1,1,0,355
Connecticut,2014,Marijuana Trafficking,0,6,6,0,1,355
Connecticut,2015,Marijuana Possession,0,0,0,0,0,334
Connecticut,2015,Marijuana Trafficking,0,4,4,0,1,334
Connecticut,2016,Marijuana Possession,0,0,0,0,0,194
Connecticut,2016,Marijuana Trafficking,0,1,1,0,1,194
Connecticut,2017,Marijuana Possession,0,0,0,0,0,234
Connecticut,2017,Marijuana Trafficking,0,0,0,0,0,234
Connecticut,2018,Marijuana Possession,0,0,0,0,0,220
Connecticut,2018,Marijuana Trafficking,0,5,5,0,1,220
Connecticut,2019,Marijuana Possession,0,0,0,0,0,244
Connecticut,2019,Marijuana Trafficking,1,2,3,0.333333333333333,0.666666666666667,244
Connecticut,2020,Marijuana Possession,0,0,0,0,0,256
Connecticut,2020,Marijuana Trafficking,0,1,1,0,1,256
Connecticut,2021,Marijuana Possession,0,0,0,0,0,199
Connecticut,2021,Marijuana Trafficking,0,0,0,0,0,199
Connecticut,2022,Marijuana Possession,0,0,0,0,0,221
Connecticut,2022,Marijuana Trafficking,0,0,0,0,0,221
Connecticut,2023,Marijuana Possession,0,0,0,0,0,228
Connecticut,2023,Marijuana Trafficking,0,2,2,0,1,228
Connecticut,2024,Marijuana Possession,0,0,0,0,0,170
Connecticut,2024,Marijuana Trafficking,0,0,0,0,0,170
Delaware,2014,Marijuana Possession,0,0,0,0,0,97
Delaware,2014,Marijuana Trafficking,0,0,0,0,0,97
Delaware,2015,Marijuana Possession,0,0,0,0,0,90
Delaware,2015,Marijuana Trafficking,0,0,0,0,0,90
Delaware,2016,Marijuana Possession,0,0,0,0,0,52
Delaware,2016,Marijuana Trafficking,0,0,0,0,0,52
Delaware,2017,Marijuana Possession,0,0,0,0,0,65
Delaware,2017,Marijuana Trafficking,0,0,0,0,0,65
Delaware,2018,Marijuana Possession,0,0,0,0,0,49
Delaware,2018,Marijuana Trafficking,0,0,0,0,0,49
Delaware,2019,Marijuana Possession,0,0,0,0,0,94
Delaware,2019,Marijuana Trafficking,0,0,0,0,0,94
Delaware,2020,Marijuana Possession,0,0,0,0,0,70
Delaware,2020,Marijuana Trafficking,0,1,1,0,1,70
Delaware,2021,Marijuana Possession,0,0,0,0,0,39
Delaware,2021,Marijuana Trafficking,0,0,0,0,0,39
Delaware,2022,Marijuana Possession,0,0,0,0,0,59
Delaware,2022,Marijuana Trafficking,0,0,0,0,0,59
Delaware,2023,Marijuana Possession,0,0,0,0,0,79
